Language,Category,Topic,FAQ,Answer
English,Broker,Account opening,Is it possible to transfer a portfolio to Scalable Broker?,"You are welcome to transfer your portfolio to Scalable Broker. You can find all information here. In order to ensure that all applications can be processed promptly, we are currently processing them in a staggered manner.

Please only submit the form to us by e-mail as described. Custody account transfers initiated by your house bank cannot be accepted.

Please note that the entire process may take several weeks until the transfer is complete."
English,Broker,Account opening,Is there a minimum deposit?,"You will select an amount for your initial deposit during the registration process. This amount must be at least 1 Euro. Your available balance can be paid out in full or in part at any time. A high deposit is recommended in order to be able to start trading stocks, ETFs, and funds immediately."
English,Broker,Account opening,Can I become a customer even though I do not live in Germany?,"Yes. If you do not live in Germany but would still like to use our broker, you can become a customer if you meet the following conditions:

1. You are over 18 years of age.
2. You are not subject to US taxation (not a “US person” under US tax law).
3. You do not have a place of residence in Switzerland.
4. You have a current account that is kept at a credit institution based in the SEPA area.
5. You use our service as an offer from a foreign provider.
Please also note that the custodian bank only pays taxes for customers who are taxable in Germany. If you are subject to tax abroad, you must carry out the correct taxation of all securities transactions yourself."
English,Broker,Account opening,Do I have to provide my tax ID?,"German Tax Liability:
No. Providing your tax ID at sign-up is optional if you are only liable for taxation in Germany. If you do not have your tax ID at hand, the custodian bank will automatically request it for you from the Federal Central Tax Office. Your capital gains tax will therefore be paid out correctly and automatically for you even if you do not provide your tax ID.

Non-German Tax Liability:
Yes. It is mandatory to provide your tax ID, also known as Tax Identification Number or ""TIN,"" if you are liable for tax in a country other than Germany. This also applies if you pay taxes in several countries, including Germany."
English,Broker,Account opening,Why do I need to provide my bank details?,"Deposits and monthly savings plans are collected from your current account via SEPA direct debit. In addition, all withdrawals are transferred there by your Scalable Broker. All fees are also processed through your current account.

The current account must be in your name and must be held at a bank in the SEPA area. It must also be an account for payment transactions. For example, savings and overnight deposit accounts are not permitted. If your current account is a joint account, you must be registered as the beneficial owner."
English,Broker,Account opening,Why do I need to verify my identity?,"The Money Laundering Act (MLA) requires us to identify our customers. This identification is also in your interest, as it ensures a higher level of security in the customer relationship.

An MLA-compliant identification is carried out conveniently via POSTIDENT video, online identification using your ID (eID), or in the traditional way at your post office.

Do you have an NFC-enabled smartphone and a new ID card with a PIN? Then we recommend online identification with your ID (eID). With this option, you can identify yourself around the clock and in less than two minutes."
English,Broker,Account opening,Which identification methods are available?,"The identification is done by our partner, POSTIDENT. With POSTIDENT, you can choose between POSTIDENT video, online identification using your ID (eID), and identification in person at a post office branch.

You can start the identification process conveniently in our app or online by logging in to your Scalable Capital account after completing the registration."
English,Broker,Account opening,I have already completed the identification. What happens next?,"Once you have successfully completed the identification, you do not need to do anything else.

The identification data is automatically transmitted to Scalable Capital, and the opening of both the clearing account and the custody account is automatically initiated. It can take up to three working days to open the accounts. You will be informed automatically as soon as the account opening is completed.

If any questions arise from the transmitted identification data, we will contact you proactively."
English,Broker,Account opening,Can I verify my identity with a foreign identity card?,"Yes. You can also identify yourself through our partner POSTIDENT with your foreign identity card or passport.

A list of the ID cards supported by POSTIDENT-Video can be downloaded here (German only): https://de.scalable.capital/postident-id.

If your ID document is not supported for POSTIDENT-Video, you can carry out identification in person at a post office. You can find a list of the ID cards accepted in branch offices here (German only): https://de.scalable.capital/postident-filiale.

If any questions arise from the transmitted identification data, we will contact you proactively."
English,Broker,Account opening,What are the requirements to participate in the rewards program?,"Your deposit with Baader Bank must have been opened between 5 October 2020 and 30 of November 2020.

In addition, at least one savings plan execution or one buy order must have been executed by 10:00 p.m. on 11 December 2020.

Please note: Instructed and not-yet-executed trade orders (e.g. limit orders) are not taken into account."
English,Broker,Account opening,When will I receive the reward?,"Your reward will be paid out to your brokerage clearing account by the end of December 2020.

Please note: If no trade order in the form of a savings plan execution or a buy order has been executed for you by 10:00 p.m. on 11 December 2020, then your premium entitlement will be forfeited.

Instructed and not-yet-executed trade orders (e.g. limit orders) are not taken into account."
English,Broker,Account opening,How long does it take to open an account?,"The registration is completed online and only takes a few minutes. Registration via iOS or Android mobile app is also possible. Then, you complete the identification via POSTIDENT (Please note: This step is not necessary for existing customers of our wealth management product with custody account management at Baader Bank).

The account opening by the custodian bank usually takes 1-2 working days. As soon as your custody account has been opened and the initial deposit has been made, you can start trading."
English,Broker,Account opening,Does Scalable Capital have a demo account?,"No. There is no demo account; however, with our FREE Broker all important functions are already available to you. In this plan, there are no monthly fees or minimum investment period."
English,Broker,Account opening,Are joint accounts offered as well?,No. Scalable Broker is only offered as a single account.
English,Broker,Account opening,Can I open an account for my underage children?,"No. The minimum age for using Scalable Broker is 18 years. However, you are welcome to use Scalable Capital's wealth management service on behalf of your children."
English,Broker,Account opening,Can I open a business account?,No. Scalable Broker is only offered to private individuals.
English,Broker,Account opening,Can I set up a power of attorney for my portfolio?,"Yes. If you want to set up a power of attorney for your Scalable Capital account and custody account, the authorized person must identify themeself using the POSTIDENT procedure of Deutsche Post. Please contact our customer service by email so that we can send you the corresponding access.

After your successful identification, please complete the form ""Power of attorney for accounts/custody accounts for an individual"" in the Baader Bank Form Center. Please send the completed form directly to Baader Bank:

Baader Bank Aktiengesellschaft
Kundenservice
Weihenstephaner Straße 4
85716 Unterschleißheim
Germany"
English,Broker,Account opening,Is it possible to have multiple accounts?,"No. You can only have one brokerage account with a custody account in your name. However, as a broker client you have the option of adding an automated, ETF-based asset management portfolio. To do this, click on the ""plus"" in the app in the customer area after logging in (""Home"") or on ""Add product"" in the web browser. "
English,Broker,Account opening,Can I open an account with a foreign currency?,No. Trading via Scalable Broker is only possible in Euro.
English,Broker,Securities account management,How can I make deposits and withdrawals?,"Deposit
By clicking on the menu item ""Payments"", you can order a deposit at any time in our app or online. This will be debited from your current account via SEPA direct debit.
 
Alternatively, you can transfer the desired amount to your clearing account at Baader Bank. You will find the IBAN of your clearing account by selecting the desired product on the home screen and clicking the IBAN below the product title on the broker details screen. You can enter your name as the recipient, since the clearing account is in your name. Transfers to your clearing account at Baader Bank have to be made through your regular reference account. Payments that cannot be clearly associated with you (such as payments made through PayPal, Payward or Wise) are not allowed. 
 
Please note that deposits made through SEPA direct debit can only be used for trading derivatives eight weeks later.
 
Withdrawal
By clicking on the menu item ""Payments"", you can order a withdrawal at any time in our app or online. Simply select the desired amount and confirm your withdrawal. We will transfer this to the current account that you saved as your reference account.
"
English,Broker,Securities account management,Why can't my entire balance be paid out?,"We continuously calculate your available credit in real time. For example, the amount is reduced by open, not yet executed or not yet settled purchase orders or payments.

Proceeds from executed sales can be used directly to buy securities again. However, they are only available for payment as soon as the transactions have been booked by the custodian bank. This is due to the fact that securities transactions are only actually booked two trading days after the trade has taken place on the stock exchange (so-called settlement)."
English,Broker,Securities account management,"As a customer, do I have an overview of the individual transactions?","Yes. All transactions can be viewed at any time in our app or online by logging in to your Scalable Capital account. In addition, the custodian bank will provide you with a monthly account statement in your mailbox. There you will see a summary of all transactions made."
