Spielklasse,Liga,Gebiet,Info,championship_id,team_id,team,German_ratio,quote
131 B-KLASSE 1,BK,Gebiet München,1. München (Großstadt > 1 Million Einwohner),023T295GD800005FVS54898DVST4NHAM-G,016PG7IB4O000000VV0AG80NVUT1FLRU,SV Lohhof III,0.782608695652174,2.11
131 B-KLASSE 1,BK,Gebiet München,1. München (Großstadt > 1 Million Einwohner),023T295GD800005FVS54898DVST4NHAM-G,016PM67AJK000000VV0AG80NVUT1FLRU,SC Inhauser Moos II,0.7037037037037037,2.0
131 B-KLASSE 1,BK,Gebiet München,1. München (Großstadt > 1 Million Einwohner),023T295GD800005FVS54898DVST4NHAM-G,016PM67AP4000000VV0AG80NVUT1FLRU,SV Riedmoos e.V. 1959 II,0.7272727272727273,2.23
131 B-KLASSE 1,BK,Gebiet München,1. München (Großstadt > 1 Million Einwohner),023T295GD800005FVS54898DVST4NHAM-G,016PF86S30000000VV0AG80NVV8OQVTB,TSV Bergkirchen II,0.8,1.92
131 B-KLASSE 1,BK,Gebiet München,1. München (Großstadt > 1 Million Einwohner),023T295GD800005FVS54898DVST4NHAM-G,016PF86S24000000VV0AG80NVV8OQVTB,TSV Allach 09 II,0.5416666666666666,2.19
131 B-KLASSE 1,BK,Gebiet München,1. München (Großstadt > 1 Million Einwohner),023T295GD800005FVS54898DVST4NHAM-G,016PF86S5K000000VV0AG80NVV8OQVTB,TSV Schwabhausen II,0.625,1.65
131 B-KLASSE 1,BK,Gebiet München,1. München (Großstadt > 1 Million Einwohner),023T295GD800005FVS54898DVST4NHAM-G,01L68F2I6K000000VV0AG811VVGM5Q6P,SV Haimhausen II,0.5909090909090909,1.84
131 B-KLASSE 1,BK,Gebiet München,1. München (Großstadt > 1 Million Einwohner),023T295GD800005FVS54898DVST4NHAM-G,016PM8GHR8000000VV0AG811VUDIC8D7,TSV Gerberau,0.2727272727272727,3.92
131 B-KLASSE 1,BK,Gebiet München,1. München (Großstadt > 1 Million Einwohner),023T295GD800005FVS54898DVST4NHAM-G,016PM8GHU8000000VV0AG811VUDIC8D7,1. FC Kollbach,0.6666666666666666,1.92
131 B-KLASSE 1,BK,Gebiet München,1. München (Großstadt > 1 Million Einwohner),023T295GD800005FVS54898DVST4NHAM-G,016PM67AMO000000VV0AG80NVUT1FLRU,SpVgg Kammerberg II,0.8421052631578947,1.61
