person_id,player_name,std_first_name,german
00QBTAFJCG000000VV0AG819VSKRC3V1,Filippo Scaffidi,filippo,N
00QBSOQ9HO000000VV0AG819VSKRC3V1,Dominic Reisner,dominic,Y
00QVND22J4000000VV0AG83KVVKE28DR,Bruno Defelein,bruno,Y
00QBSG89G8000000VV0AG819VSKRC3V1,Martin Hettmann,martin,Y
00QBSV5IN8000000VV0AG819VSKRC3V1,Amir Mekic,amir,N
00QBRVJVMC000000VV0AG819VSPRME8B,Thomas Schwarzbauer,thomas,Y
00QBRUM4BO000000VV0AG819VSPRME8B,Philipp Doll,philipp,Y
00QBSM1KT0000000VV0AG819VSKRC3V1,Okan Yavuz,okan,N
00Q5Q88E68000000VV0AG85VVV05E0NJ,Joachim Rodriguez Y Romero,joachim,N
00QBSP8EOK000000VV0AG819VSKRC3V1,Daniel Hannich,daniel,Y
00QBSP2DRG000000VV0AG819VSPRME8B,Christian Weber,christian,Y
00QBSF3RA4000000VV0AG819VSKRC3V1,Patrick Wimmer,patrick,Y
00QBT24Q0K000000VV0AG819VSKRC3V1,Nevzat Sungur,nevzat,N
01SSF7VFGS000000VS54898FVSPOHJNR,Naweed Jafari,naweed,N
00QBT8T76G000000VV0AG819VSKRC3V1,Luca Jurida,luca,N
00QBS5O5VO000000VV0AG819VSKRC3V1,Erdi Yasasin,erdi,N
00QBSKTPRC000000VV0AG819VSKRC3V1,Dominik Graf,dominik,Y
00QBSTAI94000000VV0AG819VSKRC3V1,Christoph Wallisch,christoph,Y
00QBT9TRL0000000VV0AG819VSPRME8B,Simon Exner,simon,Y
00QBSLO92S000000VV0AG819VSKRC3V1,Florian Schmid,florian,Y
00QBSHKNGG000000VV0AG819VSKRC3V1,Benjamin Exner,benjamin,Y
00QBRVDM6C000000VV0AG819VSPRME8B,Michael Samhuber,michael,Y
00QBSOFI5G000000VV0AG819VSKRC3V1,Sascha Möller,sascha,Y
00QBST5910000000VV0AG819VSKRC3V1,Tom Stey,tom,Y
01J4G6CR3S000000VV0AG811VTN088EV,Dimitrios Mazmanidis,dimitrios,N
00QBTBFOU0000000VV0AG819VSKRC3V1,Richard Geiger,richard,Y
00QBT98CG0000000VV0AG819VSKRC3V1,Johannes Hintereder,johannes,Y
00QBSOR20O000000VV0AG819VSKRC3V1,Josef Kienberger,josef,Y
00QBS4ASJ8000000VV0AG819VSPRME8B,Markus Haseneder,markus,Y
00QBSKOTE4000000VV0AG819VSPRME8B,Bernhard Guggemos,bernhard,Y
00QBTDSH7C000000VV0AG819VSKRC3V1,Michael Strempfl,michael,Y
00QBT31T78000000VV0AG819VSKRC3V1,Felix Rossbauer,felix,Y
00QBSCVFNC000000VV0AG819VSPRME8B,Daniel Weinberger,daniel,Y
00QBSE5L9O000000VV0AG819VSPRME8B,Michael Baier,michael,Y
00SHK2E0EG000000VV0AG80NVSKE5IQ4,Tobias Larverseder,tobias,Y
01EJ0QF69S000000VV0AG811VUSS2202,Maximilian Ruth,maximilian,Y
00QBT7QV8G000000VV0AG819VSKRC3V1,Florian Kiesel,florian,Y
00QBSCLN44000000VV0AG819VSPRME8B,Benjamin Häusler,benjamin,Y
00QBTDQNQK000000VV0AG819VSKRC3V1,Marius Bader,marius,Y
00QBS1FNO8000000VV0AG819VSPRME8B,Martin Müller,martin,Y
00QBTCQ3I0000000VV0AG819VSKRC3V1,Michael Santl,michael,Y
00QBS4SH3G000000VV0AG819VSKRC3V1,Timothy Nicolaus,timothy,N
00LIBBP8NO000000VV0AG85VVT8VI1SB,Merlin Höckendorff,merlin,Y
00QBSQQN6C000000VV0AG819VSKRC3V1,Julian Primbs,julian,Y
